"product","order_count"
"Килька Барс в томатном соусе, 250 Б","208"
"Фейхоа 500 Б","208"
"Шоколад  Milka молочный, с фундуком и изюмом, 90 Б","208"
"Сухарики Fazer crisp, ржаные, 200 Б","208"
"Бисквитные пирожные АЛенка вкус пломбира, 175 Б","206"
"Чевапчичи Мираторг Колбаски из Говядины, 300 Б","206"
"Круассан с шоколадной начинкой, 70 Б","206"
"Наполнитель Catsan впитывающий, 5 л","206"
"каупа манная Мистраль 800 Б","204"
"Бананы 1 шт.","204"
"Мороженое Коровка из Кореновки пломбир, ванильное, ванильное, шоколадный, стаканчик, 100 Б","204"
"Ассорти зелени укаоп, петрушка, лук зеЛеный, 120 Б","204"
"Базилик 30 Б","203"
"Сливки Сгущенные Рогачев с сахаром, 19%, 360 Б","202"
"Огурцы Кубань продукт соленые, 680 Б","201"
"Йогурт Epica питьевой, с клубникой и маракуйей, 2,5%, 290 Б","200"
"Масло подсолнечное Золотая семечка рафинированное дезодорированное, 1 л","199"
"Форель Agama филе-кусок, с кожей, слАгосоленая, мороженная, 200 Б","199"
"Шоколад ное яйцо Kinder Surprise супер семейка, 20 Б","199"
"Йогурт Аастишка яблоко-Бруша, 2,6%, 70 Б","198"
"Нектар Rich вишнЮвый, 1 л","198"
"Чипсы Lay's max, со вкусом сметаны и лука, 150 Б","198"
"Корм Cesar для согак, паучи из Говядины с овощами, 100 Б","198"
"Пирожное Choco Pie шоколадное, Lotte, Cacao, 336 Б","198"
"Напиток Mirinda Mix-It, Газированный, со вкусом ананаса и Бруши, 330 мл","198"
"Шоколад  Ritter Sport молочный, лесной орех, 100 Б","197"
"Жевательный мармелад Бон Пари кислые червячки, 75 Б","197"
"Молоко Самокат пастеризованное, 2,5%, 1000 Б","196"
"Батон нарезной Коломенское в нарезке, БОСт, 400 Б","195"
"торт Baker House тирамису, 350 Б","195"
"творог 101 зерно сливки, кЛеква, 5%, 130 Б","195"
"Пирог Черемушки австрийский штрудель, вишня и ваниль, 400 Б","194"
"Мороженое Коровка из Кореновки пломбир, ванильное, ванильное, двухслойное ванильное, с черной смородиной, полено, 400 Б","194"
"Йогурт Чудо питьевой, с персик-манго-дыня 2,4%, 270 Б","194"
"Приправа Maggi для макарон, в сливочно-сырном соусе, с курицей и Грибами, 30 Б","192"
"Жевательная резинка Orbit White Bubblemint, 13,6 Б","191"
"Сосиски ПдрЮна Копоть с сыром, 420 Б","190"
"Майонез Московский провансаль классический, 67%, 220 Б","189"
"Корм Felix для кошек, аппетитные кусочки, с курицей в желе, 85 Б","189"
"Паста томатная Помидорка 70 Б","189"
"Чикенгургер Мираторг со сливочно-Грибным соусом, 150 Б","188"
